trdmn,mkt_rf,smb,hml,umd,rf,smb_equal,hml_equal,umd_equal,rmw,cma,rmw_equal,cma_equal
201512,0.0409622259,0.0639445555,-0.003089057,-0.05266621,0.001241,0.0660331371,-0.000421294,-0.057586201,-0.000345196,-0.008368867,-0.031230278,0.0252745878
201601,-0.265642281,-0.045160447,0.0363139689,-0.098394694,0.001241,-0.013021013,0.0229414794,-0.059500164,0.080844172,0.0266586184,0.0276872811,-0.005357029
201602,-0.021069636,0.0028080168,0.0196072084,-0.024587421,0.001241,0.0031864067,0.025099597,-0.024638514,-0.001851908,0.0133192865,-0.006782011,0.0193736367
201603,0.1443008331,0.0612238177,-0.029451654,-0.027870562,0.001241,0.0447054813,-0.025386703,-0.03078171,-0.045437384,-0.046676285,-0.027408327,-0.021256123
201604,-0.022252384,0.0292302734,0.0179360021,0.0086322188,0.001241,0.0347643167,0.0141699022,0.0004555429,0.0068797291,0.0082224443,-0.012343977,0.0193554768
201605,-0.011174602,-0.021010341,-0.016932996,-0.003451152,0.001241,-0.013713859,-0.01783784,-0.019461311,0.0178379208,-0.016055495,0.0142031811,-0.023058747
201606,0.0290951379,0.0396936632,-0.028504033,0.023743223,0.001241,0.0318048497,-0.031145584,0.0165670915,-0.024438566,-0.016922697,-0.020121445,-0.013514839
201607,0.0169912327,-0.022249438,0.060113713,-0.040395756,0.001241,-0.009823821,0.0626762879,-0.064187229,0.0309765674,0.0069325326,0.0205286765,0.0232888945
201608,0.0343675326,0.0325560721,0.0139421466,-0.025836612,0.001241,0.0283138072,0.0163137584,-0.011471996,-0.005314501,0.0045370037,-0.009159299,0.0084176298
201609,-0.020955463,0.0369436968,0.0132240864,-0.001321484,0.001241,0.0360844225,0.0177954889,-0.003941457,-0.00260743,-0.001617362,-0.013740534,0.0156248501
201610,0.0323293301,0.018133311,0.0161729701,-0.006017501,0.001241,0.019276326,0.0081399343,0.0099259896,-0.016731777,0.0132861199,-0.019213091,0.0159858464
201611,0.0373686323,0.0043651193,0.035001503,-0.014029805,0.001241,0.0158888533,0.0197491114,-0.012344261,0.0060488865,0.0197797941,-0.009589641,0.0243489983
201612,-0.045470529,0.0278307335,0.0369436421,0.0165992746,0.001241,0.028914692,0.0402949701,0.0207925636,0.01082892,0.046476011,-0.012427602,0.0425941739
201701,0.005406684,-0.033630102,0.0425007687,-0.006388089,0.001241,-0.020093313,0.0378410596,0.0022358417,0.0216320515,0.0419901956,0.0018698217,0.0217313635
201702,0.0292462864,0.0117742567,0.0046990455,-0.005003735,0.001241,0.0054084683,0.0090969971,-0.002473556,-0.01742903,-0.016142929,-0.00518828,0.005652244
201703,-0.006143635,-0.02476755,0.0079003607,0.0429812645,0.001241,-0.012794961,0.0143131335,0.0218732486,0.0465493041,-0.031344163,0.0330266807,-0.020599238
201704,-0.025017243,-0.051865145,0.0351043814,0.0504498624,0.001241,-0.033921164,0.0339921656,0.0223182968,0.0688230461,-0.031755042,0.0521144809,-0.028127405
201705,-0.038183962,-0.050537425,0.0222242331,0.0566623196,0.001241,-0.017251139,0.0197346404,0.009907752,0.0721204661,-0.005716254,0.0291764242,-0.011084776
